Name,Rating,Reviews,Type,Employe,Sector,Old
AppInventiv Technologies,3.6,220,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Balaji Wafers,4.3,220,Banking,50k-1 Lakh Employees,Public,31 years old
Dnata,3.9,220,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
AXIS MY INDIA,4.0,220,BPO,50k-1 Lakh Employees,Public,41 years old
Rahee Infratech,4.2,220,Telecom,50k-1 Lakh Employees,Public,17 years old
IVTL Infoview Technologies,3.6,220,Internet,1 Lakh+ Employees,Public,30 years old
HCL Healthcare,4.2,220,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
NatWest Markets,4.0,220,Retail,1 Lakh+ Employees,NaN,NaN
Imperative Business Ventures,4.4,220,NBFC,1 Lakh+ Employees,NaN,NaN
PSA AVTEC Powertrain,3.4,220,Engineering & Construction,10k-50k Employees,Public,86 years old
Universal Corporation,3.8,220,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Borosil Glass Works,3.8,219,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
CityMall,3.1,219,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Shivam Infocom,4.1,218,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
